text,intent,urgency
"HURRY!! Only 25 free black handbags left, claim yours before they're gone!!!",Spam-Irrelevant,High
How do I track my order?,Support-Technical,Low
"I ordered size XXL but received a different size, please help sort this out.",Complaint,Medium
Can you confirm if order #37379 has shipped yet? It's been 2 weeks.,Support-Technical,Medium
Last chance to order today — is the sunglasses in size 42 still available?? Need confirmation immediately.,Sales Inquiry,High
"Order #50026 tracking has been stuck for 5 days, I need an answer right now.",Support-Technical,High
"I need the phone case before 2 weeks, is that possible?",Sales Inquiry,Medium
"Payment was deducted twice for order #84277, please fix this immediately.",Support-Technical,High
Is there a warranty on the wallet?,Support-Technical,Low
What's the price of the phone case?,Sales Inquiry,Low
Terrible service! My order #13455 never came and nobody is responding. I'm reporting this.,Complaint,High
"Can someone reply fast, I need to know if the grey handbag is available RIGHT NOW to place the order.",Sales Inquiry,High
Do you know any good recipe for biryani?,Spam-Irrelevant,Low
"Order #78879 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"Can someone reply fast, I need to know if the blue phone case is available RIGHT NOW to place the order.",Sales Inquiry,High
Last chance to order today — is the wallet in size free size still available?? Need confirmation immediately.,Sales Inquiry,High
"The tracking hasn't updated in a week, is everything okay with my order?",Support-Technical,Medium
Is express delivery available to Khulna? I need it fairly soon.,Sales Inquiry,Medium
Get a free beige handbag just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
Is this the number for the Barisal branch?,Spam-Irrelevant,Low
Do you have a physical store in Cumilla?,Support-Technical,Low
"Not totally happy with the maroon shade, it looks different in person.",Complaint,Low
"The black phone case I received doesn't match what I ordered, please fix this.",Complaint,Medium
"The tracking hasn't updated in 2 hours, is everything okay with my order?",Support-Technical,Medium
"Payment was deducted twice for order #99744, please fix this immediately.",Support-Technical,High
Packaging was a bit damaged but the handbag itself is fine.,Complaint,Low
"I need to order right now before the offer ends, is the wallet still in stock??",Sales Inquiry,High
"Customer service hasn't replied in 5 days, getting frustrated.",Complaint,Medium
Do you have a physical store in Barisal?,Support-Technical,Low
"The t-shirt I got is a bit different from the picture, a little disappointed.",Complaint,Low
"This is unacceptable, order #56018 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
How long does delivery to Rajshahi usually take?,Sales Inquiry,Low
"CONGRATULATIONS!! You won a free hoodie, click here to claim!!!",Spam-Irrelevant,Low
"The hoodie I got is a bit different from the picture, a little disappointed.",Complaint,Low
"Can someone reply fast, I need to know if the white dress is available RIGHT NOW to place the order.",Sales Inquiry,High
Terrible service! My order #81901 never came and nobody is responding. I'm reporting this.,Complaint,High
Can you confirm if order #82443 has shipped yet? It's been 10 days.,Support-Technical,Medium
"This is unacceptable, order #58606 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
"We are hiring, send your CV to this number for a great opportunity.",Spam-Irrelevant,Medium
"The earrings I received is completely broken and doesn't work at all. Very disappointed, I want my money back immediately.",Complaint,High
"I can get you 30 followers for cheap, interested?",Spam-Irrelevant,Medium
What material is the dress made of?,Sales Inquiry,Low
"We noticed you like sunglassess! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
"I need to order right now before the offer ends, is the phone case still in stock??",Sales Inquiry,High
"LAST CHANCE!! Claim your free sneakers before midnight, limited slots!!!",Spam-Irrelevant,High
BREAKING: You've won today's lucky draw!! Reply within 1 hour to claim your prize!!!,Spam-Irrelevant,High
"Can someone reply fast, I need to know if the navy backpack is available RIGHT NOW to place the order.",Sales Inquiry,High
"Order #19694 tracking has been stuck for 10 days, I need an answer right now.",Support-Technical,High
Is cash on delivery available for the backpack?,Sales Inquiry,Low
Do you have a physical store in Rangpur?,Support-Technical,Low
Do you have a size exchange option for the wallet?,Support-Technical,Low
"URGENT: need 15 pieces of backpack delivered by tomorrow for an event, please confirm ASAP!",Sales Inquiry,High
"Win a free handbag today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
Can you confirm if order #40715 has shipped yet? It's been 2 weeks.,Support-Technical,Medium
"The t-shirt has a small defect, I'd like a replacement please.",Complaint,Medium
"I paid via bKash but haven't received confirmation, order #83044.",Support-Technical,Medium
Get a free maroon dress just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
Is the sneakers available in olive?,Sales Inquiry,Low
Do you have this wallet in other colors?,Sales Inquiry,Low
Can I get the olive kurti delivered within 2 weeks? It's for an occasion.,Sales Inquiry,Medium
"HURRY!! Only 20 free beige kurtis left, claim yours before they're gone!!!",Spam-Irrelevant,High
Packaging was a bit damaged but the backpack itself is fine.,Complaint,Low
"I paid via bKash but haven't received confirmation, order #59236.",Support-Technical,Medium
Which courier do you use for delivery to Barisal?,Support-Technical,Low
"Can you hold the maroon backpack for me, I'll pay within this morning?",Sales Inquiry,Medium
What's the price of the backpack?,Sales Inquiry,Low
"I ordered size 40 but received a different size, please help sort this out.",Complaint,Medium
"I paid via bKash but haven't received confirmation, order #90599.",Support-Technical,Medium
My order #45532 was supposed to arrive 2 weeks ago and there's still no update. I need this resolved today.,Support-Technical,High
"CONGRATULATIONS!! You won a free t-shirt, click here to claim!!!",Spam-Irrelevant,Low
Do you have this panjabi in other colors?,Sales Inquiry,Low
"I ordered size 38 but received a different size, please help sort this out.",Complaint,Medium
"This is unacceptable, order #68034 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
"HURRY!! Only 15 free pink earringss left, claim yours before they're gone!!!",Spam-Irrelevant,High
"This is unacceptable, order #40907 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
"I can get you 20 followers for cheap, interested?",Spam-Irrelevant,Medium
Can you confirm if order #76287 has shipped yet? It's been 5 days.,Support-Technical,Medium
"URGENT: need 30 pieces of panjabi delivered by tomorrow for an event, please confirm ASAP!",Sales Inquiry,High
"The white hoodie I received doesn't match what I ordered, please fix this.",Complaint,Medium
"This is unacceptable, order #32973 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
"The kurti I got is a bit different from the picture, a little disappointed.",Complaint,Low
Packaging was a bit damaged but the hoodie itself is fine.,Complaint,Low
"Order #20357 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"This is unacceptable, order #83220 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
Do you have a size exchange option for the perfume?,Support-Technical,Low
Packaging was a bit damaged but the perfume itself is fine.,Complaint,Low
"Win a free wrist watch today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
Are you a robot?,Spam-Irrelevant,Low
"HURRY!! Only 15 free pink jackets left, claim yours before they're gone!!!",Spam-Irrelevant,High
"The hoodie I received is completely broken and doesn't work at all. Very disappointed, I want my money back immediately.",Complaint,High
Can I change my delivery address after ordering?,Support-Technical,Low
Can you send more photos of the red sneakers?,Sales Inquiry,Low
"LAST CHANCE!! Claim your free panjabi before midnight, limited slots!!!",Spam-Irrelevant,High
Last chance to order today — is the perfume in size 40 still available?? Need confirmation immediately.,Sales Inquiry,High
"The earrings I got is a bit different from the picture, a little disappointed.",Complaint,Low
"I paid via bKash but haven't received confirmation, order #85511.",Support-Technical,Medium
hi hi hi test test,Spam-Irrelevant,Low
"Payment was deducted twice for order #55215, please fix this immediately.",Support-Technical,High
Is there a warranty on the dress?,Support-Technical,Low
What material is the sandals made of?,Sales Inquiry,Low
Do you offer any discount for bulk orders of 30+ pieces? Planning to order this week.,Sales Inquiry,Medium
"LAST CHANCE!! Claim your free earrings before midnight, limited slots!!!",Spam-Irrelevant,High
"The panjabi has a small defect, I'd like a replacement please.",Complaint,Medium
"URGENT: need 30 pieces of wallet delivered by tomorrow for an event, please confirm ASAP!",Sales Inquiry,High
I've been waiting a week for a reply about my exchange. Is anyone even reading these messages??,Complaint,High
"CONGRATULATIONS!! You won a free sneakers, click here to claim!!!",Spam-Irrelevant,Low
"I ordered size free size but received a different size, please help sort this out.",Complaint,Medium
"Customer service hasn't replied in 10 days, getting frustrated.",Complaint,Medium
What's your return policy?,Support-Technical,Low
Do you have a size chart for the t-shirt?,Sales Inquiry,Low
"CONGRATULATIONS!! You won a free dress, click here to claim!!!",Spam-Irrelevant,Low
FINAL WARNING!! Verify your account now or lose access to your free wallet forever!!!,Spam-Irrelevant,High
Is cash on delivery available for the hoodie?,Sales Inquiry,Low
Last chance to order today — is the handbag in size 40 still available?? Need confirmation immediately.,Sales Inquiry,High
Packaging was a bit damaged but the t-shirt itself is fine.,Complaint,Low
How long does delivery to Dhaka usually take?,Sales Inquiry,Low
"The white earrings I received doesn't match what I ordered, please fix this.",Complaint,Medium
Can I pay with a card instead of cash on delivery?,Support-Technical,Low
FINAL WARNING!! Verify your account now or lose access to your free kurti forever!!!,Spam-Irrelevant,High
Get a free black sunglasses just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
"Order #85065 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"The tracking hasn't updated in 10 days, is everything okay with my order?",Support-Technical,Medium
"I need the wallet before 2 hours, is that possible?",Sales Inquiry,Medium
"The dress I received is completely broken and doesn't work at all. Very disappointed, I want my money back immediately.",Complaint,High
"HURRY!! Only 10 free navy sandalss left, claim yours before they're gone!!!",Spam-Irrelevant,High
What material is the panjabi made of?,Sales Inquiry,Low
Do you have a size exchange option for the sneakers?,Support-Technical,Low
"Payment was deducted twice for order #93115, please fix this immediately.",Support-Technical,High
Is express delivery available to Rangpur? I need it fairly soon.,Sales Inquiry,Medium
"I'm ordering 25 pieces for a gift, can you confirm stock today?",Sales Inquiry,Medium
Do you have a size exchange option for the jacket?,Support-Technical,Low
"Order #70505 tracking has been stuck for 2 hours, I need an answer right now.",Support-Technical,High
Do you deliver to Rajshahi?,Sales Inquiry,Low
Do you have a size exchange option for the kurti?,Support-Technical,Low
I've been waiting 3 days for a reply about my exchange. Is anyone even reading these messages??,Complaint,High
"Looking for models for a photoshoot, are you interested?",Spam-Irrelevant,Medium
Do you offer any discount for bulk orders of 10+ pieces? Planning to order this week.,Sales Inquiry,Medium
"The pink backpack I received doesn't match what I ordered, please fix this.",Complaint,Medium
"Not totally happy with the blue shade, it looks different in person.",Complaint,Low
"The olive dress I received doesn't match what I ordered, please fix this.",Complaint,Medium
"The backpack has a small defect, I'd like a replacement please.",Complaint,Medium
What material is the earrings made of?,Sales Inquiry,Low
"I paid via bKash but haven't received confirmation, order #94765.",Support-Technical,Medium
Can you confirm if order #79316 has shipped yet? It's been 10 days.,Support-Technical,Medium
Is express delivery available to Barisal? I need it fairly soon.,Sales Inquiry,Medium
"Can you hold the grey kurti for me, I'll pay within yesterday?",Sales Inquiry,Medium
Do you have a physical store in Khulna?,Support-Technical,Low
Packaging was a bit damaged but the cap itself is fine.,Complaint,Low
Packaging was a bit damaged but the wrist watch itself is fine.,Complaint,Low
"Not totally happy with the navy shade, it looks different in person.",Complaint,Low
Get a free pink jacket just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
My order #27367 was supposed to arrive 3 days ago and there's still no update. I need this resolved today.,Support-Technical,High
"I need to order right now before the offer ends, is the jacket still in stock??",Sales Inquiry,High
Get a free olive dress just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
"Order #12246 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"My order #64053 still shows pending after 2 hours, can you check?",Support-Technical,Medium
FINAL WARNING!! Verify your account now or lose access to your free earrings forever!!!,Spam-Irrelevant,High
"LAST CHANCE!! Claim your free sunglasses before midnight, limited slots!!!",Spam-Irrelevant,High
"URGENT: need 15 pieces of earrings delivered by tomorrow for an event, please confirm ASAP!",Sales Inquiry,High
"The tracking hasn't updated in 2 weeks, is everything okay with my order?",Support-Technical,Medium
"HURRY!! Only 25 free red sandalss left, claim yours before they're gone!!!",Spam-Irrelevant,High
"The olive sneakers I received doesn't match what I ordered, please fix this.",Complaint,Medium
"Payment was deducted twice for order #13442, please fix this immediately.",Support-Technical,High
What's the price of the wrist watch?,Sales Inquiry,Low
"I need to order right now before the offer ends, is the perfume still in stock??",Sales Inquiry,High
"Order #70375 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
Get a free blue phone case just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
"Order #72411 tracking has been stuck for this morning, I need an answer right now.",Support-Technical,High
"HURRY!! Only 50 free beige handbags left, claim yours before they're gone!!!",Spam-Irrelevant,High
"CONGRATULATIONS!! You won a free panjabi, click here to claim!!!",Spam-Irrelevant,Low
"This is unacceptable, order #28096 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
"I need to order right now before the offer ends, is the backpack still in stock??",Sales Inquiry,High
Can you confirm if order #90560 has shipped yet? It's been this morning.,Support-Technical,Medium
"The handbag I received is completely broken and doesn't work at all. Very disappointed, I want my money back immediately.",Complaint,High
"The grey wrist watch I received doesn't match what I ordered, please fix this.",Complaint,Medium
"I want to place a reseller order of 25 pieces, please reply when you can.",Sales Inquiry,Medium
"We noticed you like backpacks! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
"Delivery took longer than expected, please improve this.",Complaint,Low
"Can someone reply fast, I need to know if the blue t-shirt is available RIGHT NOW to place the order.",Sales Inquiry,High
"URGENT: need 50 pieces of wallet delivered by tomorrow for an event, please confirm ASAP!",Sales Inquiry,High
Which courier do you use for delivery to Rangpur?,Support-Technical,Low
Get a free navy kurti just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
"I paid via bKash but haven't received confirmation, order #88352.",Support-Technical,Medium
Can I get the grey kurti delivered within 2 hours? It's for an occasion.,Sales Inquiry,Medium
asdkjaslkdj,Spam-Irrelevant,Low
Is cash on delivery available for the sneakers?,Sales Inquiry,Low
"Customer service hasn't replied in a week, getting frustrated.",Complaint,Medium
"I paid for order #57124 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"Order #64206 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"Not totally happy with the olive shade, it looks different in person.",Complaint,Low
"The olive kurti I received doesn't match what I ordered, please fix this.",Complaint,Medium
"The blue jacket I received doesn't match what I ordered, please fix this.",Complaint,Medium
Terrible service! My order #49326 never came and nobody is responding. I'm reporting this.,Complaint,High
Get a free beige sneakers just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
Can you send more photos of the white jacket?,Sales Inquiry,Low
"Order #48691 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"Customer service hasn't replied in 2 hours, getting frustrated.",Complaint,Medium
FINAL WARNING!! Verify your account now or lose access to your free sunglasses forever!!!,Spam-Irrelevant,High
Do you have a size chart for the sunglasses?,Sales Inquiry,Low
"Can someone reply fast, I need to know if the white cap is available RIGHT NOW to place the order.",Sales Inquiry,High
"This is unacceptable, order #78909 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
Check out my page for the best deals in town!,Spam-Irrelevant,Low
"I ordered size S but received a different size, please help sort this out.",Complaint,Medium
FINAL WARNING!! Verify your account now or lose access to your free handbag forever!!!,Spam-Irrelevant,High
"This is unacceptable, order #33425 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
What material is the t-shirt made of?,Sales Inquiry,Low
Is this number for sale?,Spam-Irrelevant,Low
"Win a free dress today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
"Payment was deducted twice for order #88174, please fix this immediately.",Support-Technical,High
FINAL WARNING!! Verify your account now or lose access to your free backpack forever!!!,Spam-Irrelevant,High
"I need the t-shirt before 2 hours, is that possible?",Sales Inquiry,Medium
"Hi, do you have the blue t-shirt in size L?",Sales Inquiry,Low
Can you confirm if order #32050 has shipped yet? It's been 2 weeks.,Support-Technical,Medium
Do you have a size chart for the panjabi?,Sales Inquiry,Low
"I paid for order #34345 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
Do you have a physical store in Chittagong?,Support-Technical,Low
"URGENT: need 20 pieces of panjabi delivered by tomorrow for an event, please confirm ASAP!",Sales Inquiry,High
Which courier do you use for delivery to Khulna?,Support-Technical,Low
"This is unacceptable, order #86916 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
"HURRY!! Only 10 free maroon panjabis left, claim yours before they're gone!!!",Spam-Irrelevant,High
Packaging was a bit damaged but the wallet itself is fine.,Complaint,Low
"Not totally happy with the grey shade, it looks different in person.",Complaint,Low
"I paid for order #32216 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"HURRY!! Only 15 free white panjabis left, claim yours before they're gone!!!",Spam-Irrelevant,High
Last chance to order today — is the jacket in size free size still available?? Need confirmation immediately.,Sales Inquiry,High
Get a free black kurti just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
Do you deliver to Barisal?,Sales Inquiry,Low
"Earn money from home, message me to know how!",Spam-Irrelevant,Medium
Packaging was a bit damaged but the jacket itself is fine.,Complaint,Low
"I want to place a reseller order of 50 pieces, please reply when you can.",Sales Inquiry,Medium
"CONGRATULATIONS!! You won a free wallet, click here to claim!!!",Spam-Irrelevant,Low
"The navy t-shirt I received doesn't match what I ordered, please fix this.",Complaint,Medium
"The maroon backpack I received doesn't match what I ordered, please fix this.",Complaint,Medium
"The olive wallet I received doesn't match what I ordered, please fix this.",Complaint,Medium
"The sandals I got is a bit different from the picture, a little disappointed.",Complaint,Low
Is this the number for the Sylhet branch?,Spam-Irrelevant,Low
Is there a warranty on the handbag?,Support-Technical,Low
"I want to place a reseller order of 20 pieces, please reply when you can.",Sales Inquiry,Medium
Packaging was a bit damaged but the sunglasses itself is fine.,Complaint,Low
"Can someone reply fast, I need to know if the grey earrings is available RIGHT NOW to place the order.",Sales Inquiry,High
Can you send more photos of the navy wrist watch?,Sales Inquiry,Low
"Can someone reply fast, I need to know if the maroon wallet is available RIGHT NOW to place the order.",Sales Inquiry,High
"CONGRATULATIONS!! You won a free sunglasses, click here to claim!!!",Spam-Irrelevant,Low
Do you offer any discount for bulk orders of 25+ pieces? Planning to order this week.,Sales Inquiry,Medium
"I need to order right now before the offer ends, is the wrist watch still in stock??",Sales Inquiry,High
What's the price of the hoodie?,Sales Inquiry,Low
Is express delivery available to Rajshahi? I need it fairly soon.,Sales Inquiry,Medium
"I'm ordering 20 pieces for a gift, can you confirm stock today?",Sales Inquiry,Medium
"Can you hold the pink perfume for me, I'll pay within 2 hours?",Sales Inquiry,Medium
Is there a warranty on the hoodie?,Support-Technical,Low
Terrible service! My order #82036 never came and nobody is responding. I'm reporting this.,Complaint,High
"I think I entered the wrong address for order #49418, can this still be corrected?",Support-Technical,Medium
"The white sandals I received doesn't match what I ordered, please fix this.",Complaint,Medium
"The black wallet I received doesn't match what I ordered, please fix this.",Complaint,Medium
Do you have a size exchange option for the dress?,Support-Technical,Low
"The cap I got is a bit different from the picture, a little disappointed.",Complaint,Low
"LAST CHANCE!! Claim your free hoodie before midnight, limited slots!!!",Spam-Irrelevant,High
"I paid for order #28569 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"I paid for order #20752 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"We noticed you like t-shirts! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
Last chance to order today — is the sunglasses in size S still available?? Need confirmation immediately.,Sales Inquiry,High
Do you have a size chart for the jacket?,Sales Inquiry,Low
"I need the jacket before a week, is that possible?",Sales Inquiry,Medium
"Payment was deducted twice for order #57945, please fix this immediately.",Support-Technical,High
"Hi, do you have the beige sneakers in size S?",Sales Inquiry,Low
Is cash on delivery available for the panjabi?,Sales Inquiry,Low
"Not totally happy with the pink shade, it looks different in person.",Complaint,Low
Get a free black sandals just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
Can I get the maroon dress delivered within a week? It's for an occasion.,Sales Inquiry,Medium
Do you have a size exchange option for the sunglasses?,Support-Technical,Low
"The navy handbag I received doesn't match what I ordered, please fix this.",Complaint,Medium
FINAL WARNING!! Verify your account now or lose access to your free perfume forever!!!,Spam-Irrelevant,High
"Can someone reply fast, I need to know if the navy panjabi is available RIGHT NOW to place the order.",Sales Inquiry,High
Last chance to order today — is the phone case in size L still available?? Need confirmation immediately.,Sales Inquiry,High
"I can get you 15 followers for cheap, interested?",Spam-Irrelevant,Medium
"Win a free sandals today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
Do you have a physical store in Sylhet?,Support-Technical,Low
"The navy sunglasses I received doesn't match what I ordered, please fix this.",Complaint,Medium
"I paid for order #98288 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"Extremely disappointed, I messaged 2 hours ago about my broken panjabi and still no response!!",Complaint,High
"Order #22803 tracking has been stuck for 2 hours, I need an answer right now.",Support-Technical,High
"The beige kurti I received doesn't match what I ordered, please fix this.",Complaint,Medium
Can you confirm if order #64254 has shipped yet? It's been this morning.,Support-Technical,Medium
FINAL WARNING!! Verify your account now or lose access to your free phone case forever!!!,Spam-Irrelevant,High
"Payment was deducted twice for order #11256, please fix this immediately.",Support-Technical,High
Follow me back please,Spam-Irrelevant,Low
Is this the number for the Khulna branch?,Spam-Irrelevant,Low
"Payment was deducted twice for order #33283, please fix this immediately.",Support-Technical,High
"I need to order right now before the offer ends, is the earrings still in stock??",Sales Inquiry,High
"LAST CHANCE!! Claim your free handbag before midnight, limited slots!!!",Spam-Irrelevant,High
"I paid for order #25084 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"CONGRATULATIONS!! You won a free kurti, click here to claim!!!",Spam-Irrelevant,Low
Do you offer any discount for bulk orders of 50+ pieces? Planning to order this week.,Sales Inquiry,Medium
Is cash on delivery available for the wrist watch?,Sales Inquiry,Low
"The dress I got is a bit different from the picture, a little disappointed.",Complaint,Low
"I need the cap before 10 days, is that possible?",Sales Inquiry,Medium
"The dress has a small defect, I'd like a replacement please.",Complaint,Medium
FINAL WARNING!! Verify your account now or lose access to your free panjabi forever!!!,Spam-Irrelevant,High
"Order #59894 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
Do you have a size exchange option for the backpack?,Support-Technical,Low
"CONGRATULATIONS!! You won a free phone case, click here to claim!!!",Spam-Irrelevant,Low
"We noticed you like sandalss! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
"This is unacceptable, order #95830 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
FINAL WARNING!! Verify your account now or lose access to your free dress forever!!!,Spam-Irrelevant,High
"I want to place a reseller order of 30 pieces, please reply when you can.",Sales Inquiry,Medium
"Order #46739 tracking has been stuck for 10 days, I need an answer right now.",Support-Technical,High
"Payment was deducted twice for order #88246, please fix this immediately.",Support-Technical,High
"The sneakers I got is a bit different from the picture, a little disappointed.",Complaint,Low
"I'm ordering 50 pieces for a gift, can you confirm stock today?",Sales Inquiry,Medium
"URGENT!! Your account will be suspended in 24 hours, click this link now!!!",Spam-Irrelevant,High
